PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Aaron Judge,149,545,645,155,25,1,42,104,106,88,166,10,0.284,0.258,3.2,15640
Juan Soto,148,508,647,143,26,2,29,103,86,130,94,9,0.282,0.145,10.79,20123
Mike Trout,139,510,602,137,27,3,39,96,94,79,161,3,0.269,0.267,19.03,10155
Julio RodrÃ­guez,146,568,634,158,29,3,29,93,82,52,153,28,0.278,0.242,4.22,23697
JosÃ© RamÃ­rez,151,570,650,156,36,4,30,96,103,68,85,23,0.273,0.131,3.67,13510
Mookie Betts,145,561,641,153,34,3,30,108,83,66,103,14,0.272,0.161,10.55,13611
Yordan Alvarez,138,502,583,146,30,2,36,91,100,70,122,1,0.291,0.209,14.89,19556
Freddie Freeman,154,580,672,176,36,2,25,106,93,80,100,10,0.304,0.149,13.7,5361
Corey Seager,142,547,617,155,31,2,28,85,83,58,97,2,0.283,0.158,55.41,13624
Trea Turner,152,609,664,178,34,4,22,102,81,45,116,30,0.293,0.175,2.47,16252
Ronald AcuÃ±a Jr.,143,542,633,147,29,2,28,104,76,74,151,35,0.272,0.238,1.87,18401
Kyle Tucker,150,566,632,157,33,3,32,87,98,58,104,22,0.277,0.165,6.11,18345
Alex Bregman,151,547,646,144,33,1,23,88,87,82,82,2,0.263,0.127,79.26,17678
Carlos Correa,144,544,619,148,29,1,24,81,77,64,121,0,0.272,0.196,129.05,14162
Nolan Arenado,150,574,637,153,32,2,28,79,96,52,82,4,0.267,0.128,33.83,9777
Manny Machado,152,581,653,159,30,1,30,92,99,63,121,11,0.274,0.185,14.11,11493
Vladimir Guerrero Jr.,152,584,658,169,33,1,35,96,102,64,103,7,0.29,0.157,11.3,19611
J.T. Realmuto,136,495,552,131,25,3,20,73,74,42,122,17,0.264,0.222,27.33,11739
Bo Bichette,151,607,657,174,37,2,26,95,88,41,135,17,0.286,0.206,12.79,19612
Xander Bogaerts,148,558,632,154,32,1,19,86,76,61,119,8,0.276,0.188,90.32,12161
Wander Franco,142,552,610,159,34,6,13,83,71,48,64,12,0.288,0.104,86.45,23667
Austin Riley,153,584,654,160,32,2,33,89,98,53,159,1,0.274,0.244,20.95,18360
Will Smith,129,458,530,119,24,2,24,71,79,55,97,2,0.26,0.183,61.99,19197
Adley Rutschman,132,471,550,122,30,2,17,73,60,69,98,4,0.259,0.178,71.93,26288
Francisco Lindor,151,582,654,148,27,3,23,88,87,58,119,15,0.255,0.182,33.5,12916
Marcus Semien,154,607,674,153,31,3,26,94,78,57,122,20,0.252,0.181,32.63,12533
Rafael Devers,148,577,642,162,36,2,31,91,95,54,126,4,0.281,0.196,20.3,17350
Paul Goldschmidt,152,568,651,159,31,1,30,95,97,73,139,7,0.281,0.213,24.64,9218
Fernando Tatis Jr.,115,438,498,121,24,2,30,83,81,51,129,21,0.277,0.259,17.87,19709
Brandon Nimmo,137,511,600,139,27,5,14,86,58,71,109,5,0.271,0.182,182.88,12927
Willy Adames,144,560,621,138,28,1,28,84,84,55,169,8,0.246,0.272,92.8,15986
