PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Juan Soto,149,521,670,148,27,2,32,113,94,136,93,10,0.283,0.138,10.79,20123
Aaron Judge,150,567,677,158,25,1,44,113,107,95,169,12,0.278,0.249,3.2,15640
Mookie Betts,150,603,693,164,36,3,31,108,85,71,110,18,0.272,0.159,10.55,13611
Mike Trout,150,572,677,150,28,2,39,106,100,88,179,3,0.261,0.264,19.03,10155
Kyle Tucker,150,581,653,168,34,3,34,101,101,61,104,24,0.289,0.159,6.11,18345
Ronald AcuÃ±a Jr.,147,580,682,158,32,1,30,112,81,80,155,43,0.273,0.227,1.87,18401
JosÃ© RamÃ­rez,150,578,663,156,35,4,29,93,98,72,89,24,0.269,0.135,3.67,13510
Fernando Tatis Jr.,123,475,545,134,26,2,35,91,92,58,124,24,0.282,0.228,17.87,19709
Julio RodrÃ­guez,149,598,668,163,31,3,30,95,88,53,160,28,0.273,0.239,4.22,23697
Yordan Alvarez,136,507,588,147,30,2,34,89,102,69,121,2,0.291,0.206,14.89,19556
Wander Franco,144,583,649,167,37,6,15,87,74,53,70,12,0.287,0.108,86.45,23667
Adley Rutschman,130,495,582,127,30,1,17,76,63,72,101,4,0.257,0.174,71.93,26288
Nolan Arenado,150,586,649,158,33,1,29,85,99,52,86,5,0.269,0.132,33.83,9777
Vladimir Guerrero Jr.,147,574,653,168,32,1,39,100,110,66,100,7,0.292,0.153,11.3,19611
Alex Bregman,150,558,660,148,35,1,25,89,90,86,85,3,0.265,0.129,79.26,17678
Corey Seager,143,566,641,160,32,2,27,90,83,60,101,3,0.282,0.157,55.41,13624
Freddie Freeman,150,579,675,174,34,2,25,101,89,81,103,10,0.3,0.153,13.7,5361
Carlos Correa,144,563,644,153,31,1,24,87,79,67,123,1,0.271,0.192,129.05,14162
Manny Machado,150,588,663,158,30,1,30,90,98,65,124,10,0.268,0.187,14.11,11493
Xander Bogaerts,149,590,671,157,33,1,20,89,78,65,127,9,0.267,0.19,90.32,12161
Trea Turner,150,624,687,177,34,3,21,95,75,47,120,30,0.283,0.175,2.47,16252
Rafael Devers,150,597,670,168,39,2,32,98,96,57,131,5,0.281,0.196,20.3,17350
J.T. Realmuto,129,504,562,129,24,4,20,69,72,43,125,16,0.256,0.222,27.33,11739
Francisco Lindor,150,594,666,149,26,4,24,83,86,58,124,15,0.251,0.187,33.5,12916
Brandon Nimmo,138,540,637,145,28,5,16,90,61,76,115,7,0.269,0.181,182.88,12927
Marcus Semien,150,617,692,157,30,3,25,94,74,59,122,23,0.254,0.177,32.63,12533
