PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Aaron Judge,149,544,153,25,1,44,103,112,90,173,11,0.28,0.269,3.2,15640
Juan Soto,148,516,145,27,3,26,99,86,123,93,11,0.281,0.144,10.79,20123
Mike Trout,139,509,134,27,3,38,93,98,79,167,3,0.264,0.277,19.03,10155
JosÃ© RamÃ­rez,151,573,156,36,3,27,94,93,65,83,29,0.273,0.127,3.67,13510
Julio RodrÃ­guez,146,571,160,30,4,28,92,83,49,153,26,0.281,0.241,4.22,23697
Will Smith,129,461,120,25,2,24,71,77,53,99,1,0.261,0.186,61.99,19197
Trea Turner,152,609,176,32,5,21,96,79,45,118,36,0.289,0.178,2.47,16252
Mookie Betts,145,564,153,34,3,29,96,90,65,109,16,0.272,0.171,10.55,13611
Nolan Arenado,150,574,154,31,2,30,83,93,53,84,5,0.269,0.132,33.83,9777
Fernando Tatis Jr.,115,439,122,24,2,30,84,80,50,130,26,0.277,0.261,17.87,19709
Vladimir Guerrero Jr.,152,581,171,33,1,33,96,101,66,103,8,0.294,0.157,11.3,19611
J.T. Realmuto,136,494,133,25,4,21,76,69,42,121,18,0.269,0.219,27.33,11739
Freddie Freeman,154,585,177,37,3,22,95,90,75,99,11,0.303,0.147,13.7,5361
Manny Machado,152,582,157,29,1,31,88,96,62,124,12,0.269,0.19,14.11,11493
Yordan Alvarez,138,505,147,31,2,32,86,95,66,122,0,0.292,0.209,14.89,19556
Corey Seager,142,549,153,31,2,25,77,87,56,100,1,0.279,0.162,55.41,13624
Xander Bogaerts,148,560,157,32,1,19,81,79,58,117,7,0.28,0.185,90.32,12161
Austin Riley,153,586,160,32,2,34,91,99,52,161,1,0.273,0.246,20.95,18360
Bo Bichette,151,608,173,37,2,23,91,85,40,137,22,0.284,0.208,12.79,19612
Carlos Correa,144,545,149,29,1,23,79,77,63,123,0,0.274,0.198,129.05,14162
Wander Franco,142,554,160,34,5,13,76,71,46,60,13,0.288,0.098,86.45,23667
Alex Bregman,151,551,143,32,1,21,82,78,79,88,2,0.259,0.137,79.26,17678
Ronald AcuÃ±a Jr.,143,547,145,29,3,24,99,72,72,153,43,0.266,0.242,1.87,18401
