PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Juan Soto,148,518,146,27,2,29,100,89,120,95,11,0.282,0.147,10.79,20123
Aaron Judge,149,544,152,28,2,39,100,103,90,170,11,0.28,0.264,3.2,15640
Will Smith,129,461,124,25,2,25,74,78,53,101,2,0.27,0.19,61.99,19197
JosÃ© RamÃ­rez,151,574,156,34,4,28,95,93,63,82,30,0.272,0.127,3.67,13510
Mike Trout,139,509,133,28,3,36,92,96,79,167,4,0.262,0.278,19.03,10155
Ronald AcuÃ±a Jr.,143,546,149,32,2,29,104,82,72,153,40,0.273,0.242,1.87,18401
Fernando Tatis Jr.,115,438,123,25,2,33,87,84,52,132,25,0.282,0.266,17.87,19709
Freddie Freeman,154,586,178,39,2,25,99,94,74,100,11,0.304,0.148,13.7,5361
Julio RodrÃ­guez,146,570,159,30,4,26,92,80,51,150,26,0.278,0.237,4.22,23697
Vladimir Guerrero Jr.,152,582,173,34,1,35,98,104,65,102,7,0.297,0.155,11.3,19611
Trea Turner,152,609,176,35,5,20,97,78,45,118,37,0.289,0.177,2.47,16252
Corey Seager,142,548,154,32,2,26,78,88,56,102,1,0.282,0.166,55.41,13624
Mookie Betts,145,564,154,34,3,28,96,88,65,111,15,0.273,0.173,10.55,13611
Yordan Alvarez,138,504,146,31,2,32,86,95,68,121,0,0.29,0.207,14.89,19556
J.T. Realmuto,136,494,133,24,4,18,75,65,42,121,17,0.268,0.22,27.33,11739
Alex Bregman,151,553,143,31,1,23,83,80,78,91,1,0.259,0.14,79.26,17678
Manny Machado,152,582,156,28,1,29,87,93,62,122,11,0.267,0.186,14.11,11493
Wander Franco,142,555,157,34,4,13,74,70,46,60,13,0.283,0.099,86.45,23667
Shohei Ohtani,143,529,147,28,3,34,99,88,69,152,27,0.277,0.25,8.76,19755
Xander Bogaerts,148,562,153,31,2,17,80,76,57,116,6,0.272,0.184,90.32,12161
Carlos Correa,144,545,147,28,1,22,77,75,63,122,0,0.27,0.197,129.05,14162
Adley Rutschman,132,479,122,27,2,16,65,63,61,103,4,0.255,0.187,71.93,26288
Paul Goldschmidt,152,570,155,29,2,30,91,94,72,139,7,0.272,0.213,24.64,9218
Rafael Devers,148,578,160,32,2,31,86,95,54,119,5,0.277,0.186,20.3,17350
Francisco Lindor,151,583,146,29,2,22,83,81,56,120,16,0.25,0.184,33.5,12916
Austin Riley,153,584,157,30,3,30,88,93,54,159,1,0.27,0.243,20.95,18360
Brandon Nimmo,137,512,138,26,4,12,78,61,70,106,7,0.27,0.177,182.88,12927
Alejandro Kirk,122,425,117,21,0,16,60,60,48,58,0,0.276,0.12,107.87,22581
Max Muncy,137,486,116,25,1,26,80,79,79,139,2,0.24,0.241,135.42,13301
Kyle Tucker,150,566,154,33,3,28,92,87,55,106,23,0.271,0.168,6.11,18345
Bo Bichette,151,608,170,32,3,21,88,80,40,134,21,0.28,0.204,12.79,19612
Willson Contreras,126,445,116,22,2,20,71,65,51,118,8,0.26,0.229,96.22,11609
Bryan Reynolds,150,564,156,31,4,21,82,84,61,134,8,0.277,0.21,92.32,19326
Willy Adames,144,560,138,28,2,27,80,83,54,169,9,0.247,0.273,92.8,15986
Bobby Witt Jr.,148,588,156,34,6,22,87,77,37,136,33,0.265,0.213,9.38,25764
Marcus Semien,154,608,151,34,4,24,86,79,55,132,21,0.249,0.196,32.63,12533
Michael Harris II,143,542,148,31,5,16,81,65,37,132,23,0.273,0.224,30.59,25931
Nolan Arenado,150,574,145,28,2,24,75,83,52,84,4,0.253,0.133,33.83,9777
Kyle Schwarber,144,530,128,24,1,39,88,101,76,175,5,0.241,0.284,54.11,16478
Sean Murphy,134,480,120,27,1,20,66,68,47,119,0,0.25,0.22,120.58,19352
Dansby Swanson,151,583,147,31,3,22,80,77,50,165,17,0.252,0.256,83.37,18314
Matt Chapman,150,545,122,27,2,29,79,84,64,177,4,0.224,0.285,155.95,16505
Pete Alonso,153,575,147,26,1,32,83,101,62,132,4,0.255,0.201,19.67,19251
Tommy Edman,146,568,150,30,4,11,80,60,39,101,32,0.264,0.163,74.51,19470
Tyler O'Neill,132,486,122,26,3,24,78,72,46,157,19,0.25,0.289,100.79,15711
Yandy DÃ­az,137,501,141,24,2,14,72,66,72,73,4,0.281,0.125,266.45,16578
Corbin Carroll,139,518,132,29,7,13,76,61,51,150,21,0.256,0.258,56.33,25878
Jonah Heim,106,369,85,18,1,15,43,50,31,79,2,0.232,0.195,248.41,16930
Luis Arraez,135,512,153,29,3,6,66,61,49,45,6,0.299,0.079,220.67,18568
Luis Robert Jr.,130,508,143,29,2,20,75,70,32,114,16,0.281,0.207,47.97,20043
AndrÃ©s GimÃ©nez,147,534,140,26,4,14,78,63,34,125,28,0.261,0.212,81.21,19950
Oneil Cruz,136,530,132,28,4,22,79,72,45,168,23,0.249,0.289,66.99,21711
Jorge Polanco,126,475,121,25,2,19,69,63,52,108,10,0.254,0.202,169.43,13152
Matt Olson,153,576,147,27,2,32,88,95,71,141,2,0.255,0.214,44.68,14344
Taylor Ward,140,518,137,29,2,23,80,73,60,134,7,0.265,0.228,110.53,17548
Ozzie Albies,138,536,140,32,3,20,79,71,37,109,22,0.262,0.186,57.55,16556
Ketel Marte,137,517,140,32,2,16,70,74,51,98,4,0.271,0.169,201.84,13613
Amed Rosario,146,588,165,29,4,9,75,66,29,105,18,0.28,0.168,115.16,15518
Tim Anderson,135,557,162,29,2,10,75,60,27,110,24,0.29,0.185,85.34,15172
Brandon Lowe,123,454,109,24,2,20,63,69,50,128,5,0.241,0.249,165.14,18882
Byron Buxton,118,450,110,25,2,26,71,69,40,146,12,0.244,0.291,97.45,14161
Anthony Rendon,119,435,110,24,1,16,61,58,56,85,2,0.253,0.169,225.42,12861
Daulton Varsho,136,495,118,24,2,24,74,69,44,132,17,0.239,0.24,39.54,19918
Randy Arozarena,145,554,141,29,3,20,86,69,47,147,35,0.254,0.238,37.08,19290
Jeff McNeil,140,524,146,29,3,8,65,63,39,68,3,0.278,0.118,193.82,15362
George Springer,131,513,131,26,2,22,78,73,55,116,12,0.255,0.201,79.01,12856
Cal Raleigh,119,410,88,20,1,20,49,60,35,127,2,0.214,0.28,154.62,21534
Gunnar Henderson,140,514,126,26,3,15,69,61,54,160,10,0.246,0.277,90.43,26289
Yasmani Grandal,96,317,70,11,0,11,41,39,50,81,0,0.22,0.216,266.96,11368
Miguel Vargas,127,447,123,28,2,14,63,60,35,87,7,0.275,0.177,199,20178
Cedric Mullins,146,571,144,29,4,18,84,65,47,117,36,0.252,0.185,49.39,17929
Jazz Chisholm Jr.,132,497,118,23,5,20,79,62,46,157,36,0.238,0.284,39.84,20454
Jose Altuve,97,378,102,19,1,15,58,52,40,71,9,0.269,0.167,55.2,5417
Jean Segura,126,483,132,22,2,10,62,56,32,80,12,0.273,0.151,225.87,5933
Gleyber Torres,136,519,131,25,2,21,71,69,44,130,14,0.253,0.227,111.12,16997
Masataka Yoshida,123,454,129,28,2,16,65,65,52,63,2,0.284,0.121,205.05,31837
Eugenio SuÃ¡rez,144,527,113,22,1,27,67,79,64,186,0,0.215,0.309,157.78,12552
Jonathan India,136,512,130,28,2,16,72,65,52,132,10,0.254,0.226,176.82,21523
Christian Yelich,144,533,137,26,3,14,82,60,80,142,20,0.257,0.228,115.21,11477
Jake Cronenworth,145,544,138,27,4,18,76,72,56,107,6,0.254,0.173,194.49,18036
